"x1" "x2" "x3" "x4" "x5" "y"
"1" 0.01 0.37 0.74 0.88 0.77 0
"2" 0.02 0.51 0.57 0.11 0.29 0
"3" 0.03 0.35 0.12 0.62 0.99 1
"4" 0.04 0.8 0.6 0.01 0.6 0
"5" 0.05 0.01 0.86 0.8 0.12 0
"6" 0.05 0.04 1 0.69 0.49 0
"7" 0.07 0.54 0.8 0.09 0.83 1
"8" 0.07 0.8 0.34 0.21 0.74 1
"9" 0.09 0.34 0.77 0.34 1 0
"10" 0.09 0.67 0.69 0.34 0.33 0
"11" 0.11 0.06 0.17 0.45 0.71 0
"12" 0.12 0.42 0.53 0.49 0.34 1
"13" 0.14 0.59 0.81 0.75 0.71 0
"14" 0.19 0.79 0.14 0.55 0.52 1
"15" 0.21 0.1 0.51 0.24 0.97 0
"16" 0.21 0.36 0.44 0.92 0.14 0
"17" 0.22 0.67 0.15 0.7 0.74 1
"18" 0.22 0.84 0.04 0.88 0.68 0
"19" 0.23 0.24 0.09 0.91 0.91 0
"20" 0.26 0.07 0.52 0.58 0.09 0
"21" 0.28 0.12 0.47 0.44 0.06 0
"22" 0.28 0.73 0.74 0.15 0.48 0
"23" 0.3 0.23 0.81 0.76 0.62 0
"24" 0.32 0.04 0.31 0.51 0.25 0
"25" 0.33 0.57 1 0.05 0.49 0
"26" 0.34 0.57 0.47 0.2 0.9 0
"27" 0.37 0.2 0.62 0.63 0.68 0
"28" 0.37 0.58 0.8 0.32 0.69 0
"29" 0.37 0.61 0.12 0.74 0.86 1
"30" 0.39 0.06 0.47 0.46 0.84 0
"31" 0.39 0.06 0.81 0.34 0.27 0
"32" 0.39 0.83 1 0.44 0.53 1
"33" 0.39 0.88 0.82 0.49 0.42 0
"34" 0.39 0.95 0.29 0.37 0.9 1
"35" 0.4 0.61 0.52 0.13 0.61 1
"36" 0.41 0.46 0.33 0.22 0.23 0
"37" 0.41 0.48 0.39 0.74 0.89 1
"38" 0.42 0.59 0.18 0.86 0.16 0
"39" 0.43 0.67 0.94 0.51 0.27 0
"40" 0.44 0.83 0.38 0.23 0.54 0
"41" 0.45 0.07 0.39 0.09 0.99 0
"42" 0.45 0.7 0.28 0.22 0.76 1
"43" 0.46 0.24 0.36 0.85 0.74 1
"44" 0.46 0.59 0.52 0.91 0.5 0
"45" 0.47 0.49 0.15 0.66 0.03 1
"46" 0.47 0.89 0.96 0.49 0.1 0
"47" 0.48 0.21 0.2 0.22 0.37 0
"48" 0.48 0.45 0.73 0.76 0.25 0
"49" 0.48 0.67 0 0.81 0.39 1
"50" 0.49 0.27 0.58 0.63 0.83 0
"51" 0.49 0.76 0.58 0.89 0.91 1
"52" 0.5 0.33 0.4 0.43 0.77 0
"53" 0.51 0.34 0.06 0.55 0.59 0
"54" 0.52 0.62 0.42 0.68 0.28 1
"55" 0.53 0.01 0.89 0.13 0.72 0
"56" 0.54 0.64 0.11 0.92 0.94 1
"57" 0.54 0.67 0.71 0.09 0.36 0
"58" 0.55 0.6 0.89 0.41 0.97 0
"59" 0.56 0.24 0.52 0.91 0.74 0
"60" 0.56 0.87 0.04 0.98 0.54 1
"61" 0.57 0.54 0.8 0.85 0.43 1
"62" 0.57 0.84 0.52 0.94 0.61 1
"63" 0.61 0.63 0.22 0.78 0.38 1
"64" 0.62 0.36 0.64 0.88 0.35 1
"65" 0.64 0.88 0.2 0.01 0.7 1
"66" 0.65 0.13 0.95 0.5 0.57 0
"67" 0.65 0.36 0.18 0.1 1 0
"68" 0.66 0.44 0.68 0.79 0.12 1
"69" 0.66 0.46 0.25 0.23 0.47 0
"70" 0.66 0.6 0.5 0.98 0.04 1
"71" 0.66 0.84 0.77 0.58 0.2 1
"72" 0.68 0.17 0.85 0.69 0.54 1
"73" 0.69 0.04 0.15 0.87 0.43 1
"74" 0.7 0.84 0.12 0.04 0.66 1
"75" 0.72 0.54 0.38 0.84 0.19 1
"76" 0.74 0.55 0.76 0.4 0.19 0
"77" 0.76 0.73 0.2 0.34 0.14 1
"78" 0.78 0.41 0.65 0.85 0.66 1
"79" 0.78 0.61 0.61 0.06 0.59 1
"80" 0.79 0.34 0.27 0.07 0.87 0
"81" 0.79 0.47 0.2 0.5 0.7 0
"82" 0.8 0.21 0.52 0.89 0.14 1
"83" 0.8 0.36 0.89 0.21 0.01 0
"84" 0.82 0.44 0.25 0.96 0.77 1
"85" 0.87 0.24 0.1 0.98 0.25 1
"86" 0.88 0.37 0.8 0.76 0.38 0
"87" 0.89 0.19 0.27 0.03 0.83 0
"88" 0.9 0.13 0.95 0.73 0.53 0
"89" 0.9 0.67 0.3 0.29 0.18 0
"90" 0.91 0.74 0.2 0.04 0.24 0
"91" 0.92 0.8 0.36 0.99 0.55 1
"92" 0.93 0.5 0.67 0.54 0.12 0
"93" 0.95 0.07 0.86 0.98 0.98 1
"94" 0.95 0.41 0.65 0.65 0.37 0
"95" 0.95 0.54 0.54 0.02 0.51 1
"96" 0.95 0.82 0.09 0.65 0.81 1
"97" 0.97 0.23 0.35 0.99 0.63 1
"98" 0.97 0.39 0.74 0.13 0.42 1
"99" 0.98 0.29 0.26 0.57 0.74 0
"100" 0.99 0.13 0.72 0.24 0.44 0
